Start Training
| epoch   1 | 890000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.09 | ppl  3273.80
| epoch   1 | 900000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.10 | ppl  3278.07
| epoch   1 | 910000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.10 | ppl  3290.17
| epoch   1 | 920000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.10 | ppl  3286.35
| epoch   1 | 930000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.10 | ppl  3284.54
| epoch   1 | 940000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.09 | ppl  3269.73
| epoch   1 | 950000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.08 | ppl  3232.58
| epoch   1 | 960000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.08 | ppl  3232.91
| epoch   1 | 970000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.08 | ppl  3218.70
| epoch   1 | 980000/1202229 batches | lr 0.01 | ms/batches 74.57 | loss  8.07 | ppl  3203.94
| epoch   1 | 990000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.07 | ppl  3208.42
| epoch   1 | 1000000/1202229 batches | lr 0.01 | ms/batches 74.57 | loss  8.07 | ppl  3204.66
| epoch   1 | 1010000/1202229 batches | lr 0.01 | ms/batches 74.57 | loss  8.07 | ppl  3198.83
| epoch   1 | 1020000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  8.07 | ppl  3188.49
| epoch   1 | 1030000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.06 | ppl  3178.29
| epoch   1 | 1040000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.06 | ppl  3177.08
| epoch   1 | 1050000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.06 | ppl  3169.87
| epoch   1 | 1060000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.06 | ppl  3174.95
| epoch   1 | 1070000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.06 | ppl  3175.77
| epoch   1 | 1080000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.06 | ppl  3176.97
| epoch   1 | 1090000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.06 | ppl  3174.46
| epoch   1 | 1100000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.06 | ppl  3177.24
| epoch   1 | 1110000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.07 | ppl  3182.37
| epoch   1 | 1120000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  8.07 | ppl  3182.94
| epoch   1 | 1130000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  8.06 | ppl  3163.80
| epoch   1 | 1140000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  8.06 | ppl  3172.28
| epoch   1 | 1150000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.06 | ppl  3178.41
| epoch   1 | 1160000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.06 | ppl  3178.19
| epoch   1 | 1170000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.04 | ppl  3178.52
| epoch   1 | 1180000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.99 | ppl  3076.01
| epoch   1 | 1190000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.00 | ppl  3175.97
| epoch   1 | 1200000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  7.98 | ppl  3072.95
End of Epoch 1
Evaluation for validation data : 0.10340447154471545
Time : 81.33253788948059
loss : 8.031291658209493
ppl : 3399.1873189983576

| epoch   2 | 10000/1202229 batches | lr 0.01 | ms/batches 74.56 | loss  5.75 | ppl   315.49
| epoch   2 | 20000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  5.62 | ppl   276.15
| epoch   2 | 30000/1202229 batches | lr 0.01 | ms/batches 74.56 | loss  6.35 | ppl   571.74
| epoch   2 | 40000/1202229 batches | lr 0.01 | ms/batches 74.56 | loss  6.59 | ppl   724.61
| epoch   2 | 50000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  6.71 | ppl   816.82
| epoch   2 | 60000/1202229 batches | lr 0.01 | ms/batches 74.56 | loss  6.66 | ppl   777.25
| epoch   2 | 70000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  6.75 | ppl   850.32
| epoch   2 | 80000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  6.78 | ppl   880.20
| epoch   2 | 90000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  6.83 | ppl   928.65
| epoch   2 | 100000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  6.97 | ppl  1067.25
| epoch   2 | 110000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.06 | ppl  1166.70
| epoch   2 | 120000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.13 | ppl  1248.97
| epoch   2 | 130000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.19 | ppl  1328.18
| epoch   2 | 140000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.25 | ppl  1412.35
| epoch   2 | 150000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.30 | ppl  1478.38
| epoch   2 | 160000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.33 | ppl  1530.61
| epoch   2 | 170000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.38 | ppl  1596.43
| epoch   2 | 180000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.41 | ppl  1654.07
| epoch   2 | 190000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.44 | ppl  1704.83
| epoch   2 | 200000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.47 | ppl  1746.41
| epoch   2 | 210000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.49 | ppl  1788.38
| epoch   2 | 220000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.51 | ppl  1830.85
| epoch   2 | 230000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.52 | ppl  1845.11
| epoch   2 | 240000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  7.55 | ppl  1894.43
| epoch   2 | 250000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.57 | ppl  1930.31
| epoch   2 | 260000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.57 | ppl  1939.93
| epoch   2 | 270000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.57 | ppl  1931.56
| epoch   2 | 280000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.56 | ppl  1925.69
| epoch   2 | 290000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.58 | ppl  1956.20
| epoch   2 | 300000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  7.59 | ppl  1975.79
| epoch   2 | 310000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.61 | ppl  2012.08
| epoch   2 | 320000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.62 | ppl  2041.06
| epoch   2 | 330000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.63 | ppl  2055.82
| epoch   2 | 340000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.63 | ppl  2068.50
| epoch   2 | 350000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.63 | ppl  2058.12
| epoch   2 | 360000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  7.64 | ppl  2081.75
| epoch   2 | 370000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.66 | ppl  2126.56
| epoch   2 | 380000/1202229 batches | lr 0.01 | ms/batches 74.56 | loss  7.67 | ppl  2139.69
| epoch   2 | 390000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  7.65 | ppl  2093.57
| epoch   2 | 400000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.66 | ppl  2115.81
| epoch   2 | 410000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.66 | ppl  2130.80
| epoch   2 | 420000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.66 | ppl  2121.36
| epoch   2 | 430000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.66 | ppl  2112.87
| epoch   2 | 440000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.67 | ppl  2135.42
| epoch   2 | 450000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.68 | ppl  2160.47
| epoch   2 | 460000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.69 | ppl  2179.45
| epoch   2 | 470000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.69 | ppl  2192.86
| epoch   2 | 480000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.70 | ppl  2205.22
| epoch   2 | 490000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.70 | ppl  2215.49
| epoch   2 | 500000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.71 | ppl  2220.81
| epoch   2 | 510000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.71 | ppl  2224.28
| epoch   2 | 520000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.71 | ppl  2226.11
| epoch   2 | 530000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  7.71 | ppl  2222.24
| epoch   2 | 540000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.71 | ppl  2240.35
| epoch   2 | 550000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.72 | ppl  2256.70
| epoch   2 | 560000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.73 | ppl  2268.04
| epoch   2 | 570000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.73 | ppl  2272.86
| epoch   2 | 580000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  7.73 | ppl  2274.28
